state,county_name,office,district,candidate,column,magnitude,party,party_detailed
ALASKA,STATEWIDE,STATE HOUSE,034,"KING, EDWARD M. ED",156,1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,034,WRITE-IN,158,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,034,UNDERVOTE?,156,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,035,"KREISS-TOMKINS, JONATHAN S.",159,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,035,"SKAFLESTAD, KENNY",160,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,035,WRITE-IN,161,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,035,UNDERVOTE?,159,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,036,"ORTIZ, DANIEL H. (DAN)",162,1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,036,"BECKER, LESLIE",163,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,036,WRITE-IN,164,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,036,UNDERVOTE?,162,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,037,"EDGMON, BRYCE",165,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,037,WRITE-IN,166,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,037,UNDERVOTE?,165,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,038,"ZULKOSKY, TIFFANY",168,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,038,"KEPPEL, WILLY",167,1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,038,WRITE-IN,169,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,038,UNDERVOTE?,167,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,039,"FOSTER, NEAL W.",170,1,DEM,DEMOCRAT
