path,state,county_name,type,notes,build
data/raw/Illinois/Monroe/GE2020CVR.csv,ILLINOIS,MONROE,delim,,
data/raw/Illinois/Pike/03Nov2020_IL_General_Pike_CVR-7-28-2022.xlsx,ILLINOIS,PIKE,delim,,
data/raw/Illinois/Union/03Nov2020_IL_General_Union_CVR-8-5-2022(1).xlsx,ILLINOIS,UNION,delim,,
data/raw/Illinois/Wayne/03Nov2020_IL_General_Wayne_CVR-8-29-2022.xlsx,ILLINOIS,WAYNE,delim,,
data/raw/Illinois/Rockford/03Nov2020_IL_General_Rockford_CVR-8-5-2022.xlsx,ILLINOIS,WINNEBAGO,delim,,
data/raw/Iowa/Dickenson,IOWA,DICKINSON,json,,
data/raw/Maryland/Allegany/cvr.csv,MARYLAND,ALLEGANY,delim,,
data/raw/Maryland/Anne Arundel/cvr.csv,MARYLAND,ANNE ARUNDEL,delim,,
data/raw/Maryland/Baltimore/cvr_merged.csv,MARYLAND,BALTIMORE,delim,,
data/raw/Maryland/Baltimore City/cvr_merged.csv,MARYLAND,BALTIMORE CITY,delim,,
data/raw/Maryland/Calvert/cvr.csv,MARYLAND,CALVERT,delim,,
data/raw/Maryland/Caroline/cvr.csv,MARYLAND,CAROLINE,delim,,
data/raw/Maryland/Carroll/cvr.csv,MARYLAND,CARROLL,delim,,
data/raw/Maryland/Cecil/cvr.csv,MARYLAND,CECIL,delim,,
data/raw/Maryland/Charles/cvr.csv,MARYLAND,CHARLES,delim,,
data/raw/Maryland/Dorchester/cvr.csv,MARYLAND,DORCHESTER,delim,,
data/raw/Maryland/Frederick/cvr.csv,MARYLAND,FREDERICK,delim,,
data/raw/Maryland/Garrett/cvr.csv,MARYLAND,GARRETT,delim,,
data/raw/Maryland/Harford/cvr.csv,MARYLAND,HARFORD,delim,,
data/raw/Maryland/Howard/cvr.csv,MARYLAND,HOWARD,delim,,
data/raw/Maryland/Kent/cvr.csv,MARYLAND,KENT,delim,,
data/raw/Maryland/Montgomery/cvr_merged.csv,MARYLAND,MONTGOMERY,delim,,
data/raw/Maryland/Prince Georges/cvr_merged.csv,MARYLAND,PRINCE GEORGE'S,delim,,
data/raw/Maryland/Queen Anne's/cvr.csv,MARYLAND,QUEEN ANNE'S,delim,,
data/raw/Maryland/Somerset/cvr.csv,MARYLAND,SOMERSET,delim,,
data/raw/Maryland/Saint Mary's/cvr.csv,MARYLAND,ST MARY'S,delim,,
data/raw/Maryland/Talbot/cvr.csv,MARYLAND,TALBOT,delim,,
